UtcTime,Bit Depth,Block Position,HOOK LOAD,PUMP FLOW,ROP,SPP,RPM,TRQ,TOTAL DEPTH,WOB
,ft,ft,1000 lbm,gal/min,ft/h,psi,1/min,1000 ft.lbf,ft,1000 lbm
2026-03-19T21:00:00.0000000+00:00,192.69,5.09,55.3,0,0,0,0,0,381.05,19
2026-03-19T21:00:05.0000000+00:00,192.69,5.09,55.3,0,0,0,0,0,381.05,19.1
2026-03-19T21:00:10.0000000+00:00,192.69,5.09,54.8,0,0,0,0,0,381.05,19.4
2026-03-19T21:00:15.0000000+00:00,192.69,5.09,54.9,0,0,0,0,0,381.05,19.5
2026-03-19T21:00:20.0000000+00:00,192.69,5.09,54.8,0,0,0,0,0,381.05,19.4
2026-03-19T21:00:25.0000000+00:00,192.69,5.11,53.9,0,0,0,0,0,381.05,19.8
2026-03-19T21:00:30.0000000+00:00,192.69,6.92,54.3,0,0,0,0,0,381.05,20.7
2026-03-19T21:00:35.0000000+00:00,192.69,10.02,54.3,0,0,0,0,0,381.05,19.6
2026-03-19T21:00:40.0000000+00:00,192.69,14.21,55.2,0,0,0,0,0,381.05,18.5
2026-03-19T21:00:45.0000000+00:00,192.69,14.56,56.1,0,0,0,0,0,381.05,17.9
2026-03-19T21:00:50.0000000+00:00,192.69,14.56,56.1,0,0,0,0,0,381.05,18.1
2026-03-19T21:00:55.0000000+00:00,192.69,14.56,56.2,0,0,0,0,0,381.05,18.3
2026-03-19T21:01:00.0000000+00:00,192.69,14.56,56.2,0,0,0,0,0,381.05,18.1
2026-03-19T21:01:05.0000000+00:00,192.69,14.56,56.1,0,0,0,0,0,381.05,18.2
2026-03-19T21:01:10.0000000+00:00,192.69,14.56,56.2,0,0,0,0,0,381.05,18
2026-03-19T21:01:15.0000000+00:00,192.69,14.56,56.1,0,0,0,0,0,381.05,18.1
2026-03-19T21:01:20.0000000+00:00,192.69,14.56,56.2,0,0,0,0,0,381.05,18.1
2026-03-19T21:01:25.0000000+00:00,192.69,14.56,56.2,0,0,0,0,0,381.05,18.2
2026-03-19T21:01:30.0000000+00:00,192.69,14.56,56.1,0,0,0,0,0,381.05,18.1
2026-03-19T21:01:35.0000000+00:00,192.69,14.56,56.2,0,0,0,0,0,381.05,18.1
2026-03-19T21:01:40.0000000+00:00,192.69,14.56,57.1,0,0,0,0,0,381.05,17.3
2026-03-19T21:01:45.0000000+00:00,192.69,18.09,55.1,0,0,0,0,0,381.05,20.6
2026-03-19T21:01:50.0000000+00:00,192.69,26.68,55.3,0,0,0,0,0,381.05,19.6
2026-03-19T21:01:55.0000000+00:00,192.69,36.77,56.7,0,0,0,0,0,381.05,18.8
2026-03-19T21:02:00.0000000+00:00,192.69,44.6,59.6,0,0,0,0,0,381.05,18.1
2026-03-19T21:02:05.0000000+00:00,192.69,49.46,59.9,0,0,0,0,0,381.05,16.2
2026-03-19T21:02:10.0000000+00:00,192.69,50.11,61.7,0,0,0,0,0,381.05,13.6
2026-03-19T21:02:15.0000000+00:00,193.49,49.16,61.4,0,0,0,0,0,381.05,12.2
2026-03-19T21:02:20.0000000+00:00,193.49,49.16,62.3,0,0,0,0,0,381.05,12
2026-03-19T21:02:25.0000000+00:00,193.49,49.16,62.1,0,0,0,0,0,381.05,12.1
2026-03-19T21:02:30.0000000+00:00,193.05,52.21,59.8,0,0,0,0,0,381.05,16.4
2026-03-19T21:02:35.0000000+00:00,192.87,52.83,61.8,0,0,0,0,0,381.05,12.2
