UtcTime,Bit Depth,Block Position,HOOK LOAD,PUMP FLOW,ROP,SPP,RPM,TRQ,TOTAL DEPTH,WOB
,ft,ft,1000 lbm,gal/min,ft/h,psi,1/min,1000 ft.lbf,ft,1000 lbm
2026-04-04T21:00:00.0000000+00:00,277.06,79.34,136.3,0,0,0,0,0,605.02,0.8
2026-04-04T21:00:05.0000000+00:00,272.76,83.66,136.5,0,0,0,0,0,605.02,1.1
2026-04-04T21:00:10.0000000+00:00,268.33,88.09,137,0,0,0,0,0,605.02,0.8
2026-04-04T21:00:15.0000000+00:00,263.85,92.56,135.5,0,0,0,0,0,605.02,0.8
2026-04-04T21:00:20.0000000+00:00,260.29,96.04,137.2,0,0,0,0,0,605.02,0.3
2026-04-04T21:00:25.0000000+00:00,259.34,96.9,137.7,0,0,0,0,0,605.02,-0.7
2026-04-04T21:00:30.0000000+00:00,259.34,96.9,137.9,0,0,0,0,0,605.02,-0.7
2026-04-04T21:00:35.0000000+00:00,259.34,96.9,137.9,0,0,0,0,0,605.02,-0.7
2026-04-04T21:00:40.0000000+00:00,259.34,96.9,138,0,0,0,0,0,605.02,-0.7
2026-04-04T21:00:45.0000000+00:00,259.34,96.9,138,0,0,0,0,0,605.02,-0.7
2026-04-04T21:00:50.0000000+00:00,258.98,97.24,137,0,0,0,0,0,605.02,-0.1
2026-04-04T21:00:55.0000000+00:00,259.61,96.63,51.8,0,0,0,0,0,605.02,79.6
2026-04-04T21:01:00.0000000+00:00,259.61,96.63,51.4,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:05.0000000+00:00,259.61,96.63,51.5,0,0,0,0,0,605.02,85.8
2026-04-04T21:01:10.0000000+00:00,259.61,96.63,51.5,0,0,0,0,0,605.02,85.8
2026-04-04T21:01:15.0000000+00:00,259.61,96.63,51.4,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:20.0000000+00:00,259.61,96.63,51.4,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:25.0000000+00:00,259.61,96.63,51.4,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:30.0000000+00:00,259.61,96.63,51.4,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:35.0000000+00:00,259.61,96.63,51.4,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:40.0000000+00:00,259.61,96.63,51.3,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:45.0000000+00:00,259.61,96.63,51.3,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:50.0000000+00:00,259.61,96.63,51.4,0,0,0,0,0,605.02,85.9
2026-04-04T21:01:55.0000000+00:00,259.61,96.63,51.3,0,0,0,0,0,605.02,86
2026-04-04T21:02:00.0000000+00:00,259.61,96.63,51.2,0,0,0,0,0,605.02,86
2026-04-04T21:02:05.0000000+00:00,259.61,96.63,51.4,0,0,0,0,0,605.02,85.9
2026-04-04T21:02:10.0000000+00:00,259.61,96.63,51.3,0,0,0,0,0,605.02,86
2026-04-04T21:02:15.0000000+00:00,259.61,96.63,51.3,0,0,0,0,0,605.02,85.9
2026-04-04T21:02:20.0000000+00:00,259.61,96.63,51.3,0,0,0,0,0,605.02,86
