UtcTime,Bit Depth,Block Position,HOOK LOAD,PUMP FLOW,ROP,SPP,RPM,TRQ,TOTAL DEPTH,WOB
,ft,ft,1000 lbm,gal/min,ft/h,psi,1/min,1000 ft.lbf,ft,1000 lbm
2026-03-19T21:00:00.0000000+00:00,926.8,67.11,152.5,799,67.3,1545,20,5.9,926.8,19.4
2026-03-19T21:00:05.0000000+00:00,926.93,66.98,149.5,800,72.4,1570,20,6.8,926.93,22
2026-03-19T21:00:10.0000000+00:00,927.04,66.87,147.8,800,77,1568,20,5.6,927.04,24.1
2026-03-19T21:00:15.0000000+00:00,927.13,66.78,147.2,800,77.3,1545,19,6.7,927.13,24.5
2026-03-19T21:00:20.0000000+00:00,927.21,66.7,147.8,800,76.1,1519,21,4.7,927.21,24.6
2026-03-19T21:00:25.0000000+00:00,927.33,66.58,143.3,800,76.9,1548,19,8.5,927.33,28
2026-03-19T21:00:30.0000000+00:00,927.41,66.51,141.2,800,74.8,1573,19,8.3,927.41,30.6
2026-03-19T21:00:35.0000000+00:00,927.48,66.43,142.8,798,72.3,1611,21,7,927.48,30.3
2026-03-19T21:00:40.0000000+00:00,927.57,66.34,142.7,799,71.7,1585,20,8.9,927.57,29.7
2026-03-19T21:00:45.0000000+00:00,927.67,66.24,142.2,799,71.5,1629,20,8.1,927.67,29.8
2026-03-19T21:00:50.0000000+00:00,927.79,66.12,143.2,800,71.6,1636,20,8.8,927.79,29.1
2026-03-19T21:00:55.0000000+00:00,927.92,65.99,143.5,800,71.2,1626,20,8.3,927.92,29.1
2026-03-19T21:01:00.0000000+00:00,928.07,65.84,142.3,800,72.9,1652,20,9.1,928.06,29.9
2026-03-19T21:01:05.0000000+00:00,928.16,65.75,141.7,801,74.6,1614,19,9.6,928.16,30.8
2026-03-19T21:01:10.0000000+00:00,928.24,65.68,141.8,800,75.2,1594,19,7.9,928.24,30.9
2026-03-19T21:01:15.0000000+00:00,928.3,65.62,141.4,800,70.4,1585,20,6.2,928.3,30.9
2026-03-19T21:01:20.0000000+00:00,928.36,65.56,142.1,799,67.5,1583,20,6.2,928.36,30.5
2026-03-19T21:01:25.0000000+00:00,928.45,65.46,138.5,798,69.3,1602,19,7.8,928.45,33.5
2026-03-19T21:01:30.0000000+00:00,928.53,65.38,139.1,799,68.9,1622,20,7.3,928.53,34.3
2026-03-19T21:01:35.0000000+00:00,928.61,65.3,138.4,799,67.7,1610,22,6,928.61,33.9
2026-03-19T21:01:40.0000000+00:00,928.67,65.24,138.3,800,65.6,1606,21,6.7,928.67,34.7
2026-03-19T21:01:45.0000000+00:00,928.75,65.16,139,799,63.3,1602,20,7.2,928.75,34
2026-03-19T21:01:50.0000000+00:00,928.83,65.08,139,801,61.4,1580,21,6.9,928.83,34.1
2026-03-19T21:01:55.0000000+00:00,928.92,64.99,136.2,798,59.5,1604,21,7.7,928.92,35.3
2026-03-19T21:02:00.0000000+00:00,929,64.92,136.7,800,57.5,1586,21,7.1,929,36
2026-03-19T21:02:05.0000000+00:00,929.07,64.84,135.1,800,55.6,1625,23,8,929.07,36.6
2026-03-19T21:02:10.0000000+00:00,929.13,64.79,131.1,799,27.7,1547,2,16.7,929.13,41.4
2026-03-19T21:02:15.0000000+00:00,928.99,64.94,153.9,801,0,1442,0,17,929.13,37
2026-03-19T21:02:20.0000000+00:00,928.66,65.26,168.8,800,0,1430,21,3,929.13,3.2
2026-03-19T21:02:25.0000000+00:00,928.66,65.26,169.4,800,0,1380,20,1.9,929.13,2.7
2026-03-19T21:02:30.0000000+00:00,928.69,65.22,171.5,801,0,1371,19,2.2,929.13,2.3
2026-03-19T21:02:35.0000000+00:00,928.76,65.16,171.9,799,0,1395,20,2.4,929.13,0.8
2026-03-19T21:02:40.0000000+00:00,928.83,65.08,172,800,0,1394,19,2.5,929.13,0.5
2026-03-19T21:02:45.0000000+00:00,928.89,65.02,169.3,800,0,1393,9,14.3,929.13,3
2026-03-19T21:02:50.0000000+00:00,928.96,64.95,160.2,801,0,1400,1,16.8,929.13,10.7
2026-03-19T21:02:55.0000000+00:00,928.7,65.21,169.2,800,0,1371,25,5.5,929.13,3.4
2026-03-19T21:03:00.0000000+00:00,928.7,65.21,169.4,798,0,1369,30,4,929.13,3.2
2026-03-19T21:03:05.0000000+00:00,928.7,65.21,169.7,799,0,1362,30,2.9,929.13,2.9
2026-03-19T21:03:10.0000000+00:00,928.7,65.21,169.3,799,0,1384,33,3.3,929.13,3.2
2026-03-19T21:03:15.0000000+00:00,928.7,65.21,169.8,799,0,1360,41,2.1,929.13,3
2026-03-19T21:03:20.0000000+00:00,928.72,65.19,170.3,800,0,1372,41,1.6,929.13,3.1
2026-03-19T21:03:25.0000000+00:00,928.83,65.08,172.3,801,0,1369,41,2.1,929.13,0.7
2026-03-19T21:03:30.0000000+00:00,928.94,64.97,168.1,800,0,1364,39,2.1,929.13,2.4
2026-03-19T21:03:35.0000000+00:00,929.05,64.86,159,798,0,1457,38,4.9,929.13,11.7
2026-03-19T21:03:40.0000000+00:00,929.1,64.81,155.8,798,0,1443,41,9.6,929.13,17.2
2026-03-19T21:03:45.0000000+00:00,929.12,64.79,155.1,798,54,1510,37,7.9,929.13,17.9
2026-03-19T21:03:50.0000000+00:00,929.18,64.73,154.1,799,50.9,1516,39,7.1,929.18,18.8
2026-03-19T21:03:55.0000000+00:00,929.23,64.68,153.5,799,50,1533,41,6.4,929.23,18.8
2026-03-19T21:04:00.0000000+00:00,929.28,64.63,153.3,800,49.2,1521,39,7,929.28,19.4
2026-03-19T21:04:05.0000000+00:00,929.35,64.56,152.6,798,49.5,1526,39,7.2,929.35,19.5
2026-03-19T21:04:10.0000000+00:00,929.4,64.51,152.7,799,48,1510,41,4.9,929.4,19.8
2026-03-19T21:04:15.0000000+00:00,929.45,64.46,152,799,46.8,1483,40,5.6,929.45,20
2026-03-19T21:04:20.0000000+00:00,929.52,64.4,150.9,800,45.8,1505,40,5.2,929.51,20.6
2026-03-19T21:04:25.0000000+00:00,929.59,64.32,149.3,800,45.8,1546,40,6.1,929.59,23.3
2026-03-19T21:04:30.0000000+00:00,929.68,64.24,149,799,46.6,1518,40,6.7,929.67,23.4
2026-03-19T21:04:35.0000000+00:00,929.77,64.14,149.4,799,47.4,1525,41,5.3,929.77,23.1
2026-03-19T21:04:40.0000000+00:00,929.87,64.04,149.6,801,48.2,1537,40,6.2,929.87,23.5
2026-03-19T21:04:45.0000000+00:00,929.97,63.94,148.5,799,48.4,1545,40,5.8,929.96,23.9
2026-03-19T21:04:50.0000000+00:00,930.07,63.84,149.2,800,49.6,1555,40,5.4,930.07,23.3
2026-03-19T21:04:55.0000000+00:00,930.18,63.73,149,800,54.8,1555,40,6.4,930.18,23.4
2026-03-19T21:05:00.0000000+00:00,930.28,63.63,148.9,800,59.4,1559,40,7.3,930.28,23.4
2026-03-19T21:05:05.0000000+00:00,930.39,63.52,149.8,800,63.9,1553,40,6.2,930.39,23
2026-03-19T21:05:10.0000000+00:00,930.5,63.41,149.4,800,71.1,1545,39,6.3,930.5,23.1
2026-03-19T21:05:15.0000000+00:00,930.61,63.3,151.3,800,73.9,1562,40,5.5,930.61,22.6
2026-03-19T21:05:20.0000000+00:00,930.72,63.19,153.8,800,75.8,1541,41,4.2,930.72,19.8
2026-03-19T21:05:25.0000000+00:00,930.84,63.08,153.9,799,76.7,1514,39,5.4,930.83,18.3
2026-03-19T21:05:30.0000000+00:00,930.95,62.96,151.8,800,77.6,1519,40,5.4,930.94,20.6
2026-03-19T21:05:35.0000000+00:00,931.04,62.87,148.2,800,77.9,1550,40,5.6,931.04,24.1
2026-03-19T21:05:40.0000000+00:00,931.12,62.79,148.3,800,75.9,1546,39,5.8,931.12,24.2
2026-03-19T21:05:45.0000000+00:00,931.21,62.71,148.7,798,73.9,1541,42,7.1,931.21,24.2
2026-03-19T21:05:50.0000000+00:00,931.3,62.62,148.9,799,72.9,1555,40,5.4,931.3,23.9
2026-03-19T21:05:55.0000000+00:00,931.39,62.52,149,799,71.8,1572,40,6.1,931.39,24
2026-03-19T21:06:00.0000000+00:00,931.47,62.44,149,800,70.2,1545,40,6.1,931.47,24.1
2026-03-19T21:06:05.0000000+00:00,931.56,62.36,148.6,800,68.6,1562,40,5.3,931.56,24.1
2026-03-19T21:06:10.0000000+00:00,931.64,62.27,147.9,800,67.5,1553,40,5.6,931.64,24.4
2026-03-19T21:06:15.0000000+00:00,931.73,62.18,148.5,800,65.7,1529,40,5.3,931.73,24.1
2026-03-19T21:06:20.0000000+00:00,931.81,62.1,148.4,800,64.1,1526,40,5,931.81,24.2
2026-03-19T21:06:25.0000000+00:00,931.88,62.03,148.2,800,62.1,1554,39,5.2,931.88,24.8
2026-03-19T21:06:30.0000000+00:00,931.95,61.96,148.2,799,60.2,1504,40,4.5,931.95,24.4
2026-03-19T21:06:35.0000000+00:00,932.02,61.89,146.5,798,59.1,1516,40,4.8,932.02,26.4
2026-03-19T21:06:40.0000000+00:00,932.08,61.83,147.1,800,57.7,1527,40,5.4,932.08,26.4
2026-03-19T21:06:45.0000000+00:00,932.14,61.77,146.8,799,56.6,1534,40,5.4,932.14,26.5
2026-03-19T21:06:50.0000000+00:00,932.19,61.72,146.2,799,54.9,1530,40,5.1,932.19,26.5
2026-03-19T21:06:55.0000000+00:00,932.24,61.67,146.8,800,53.1,1522,40,5.1,932.24,26.3
2026-03-19T21:07:00.0000000+00:00,932.29,61.62,146.6,799,51.1,1510,40,5,932.29,26.5
2026-03-19T21:07:05.0000000+00:00,932.34,61.57,146,799,49.4,1541,41,4.2,932.34,26.3
2026-03-19T21:07:10.0000000+00:00,932.39,61.52,146.1,800,48.2,1538,40,6,932.39,26.3
2026-03-19T21:07:15.0000000+00:00,932.46,61.45,147,799,47.5,1583,40,5.9,932.46,25.6
2026-03-19T21:07:20.0000000+00:00,932.57,61.34,148.2,800,48.2,1587,39,7.9,932.57,24.3
2026-03-19T21:07:25.0000000+00:00,932.7,61.21,148,799,50.1,1560,41,5.6,932.7,24.1
2026-03-19T21:07:30.0000000+00:00,932.8,61.11,146.2,801,51.2,1537,40,4.9,932.8,26
2026-03-19T21:07:35.0000000+00:00,932.87,61.04,146.2,800,50.9,1553,40,5.5,932.87,26.7
2026-03-19T21:07:40.0000000+00:00,932.93,60.98,146.7,799,50.5,1559,40,5.5,932.93,26.1
2026-03-19T21:07:45.0000000+00:00,933.03,60.88,146.8,801,51.5,1570,40,6.1,933.03,25.6
2026-03-19T21:07:50.0000000+00:00,933.13,60.78,146.9,799,53.9,1595,40,7.2,933.13,25.7
2026-03-19T21:07:55.0000000+00:00,933.26,60.65,148.4,798,60.7,1610,40,10.1,933.26,24.9
2026-03-19T21:08:00.0000000+00:00,933.4,60.51,154.9,800,71.5,1537,42,4.2,933.4,21
2026-03-19T21:08:05.0000000+00:00,933.53,60.37,155.4,800,77.5,1496,39,6,933.53,17.2
2026-03-19T21:08:10.0000000+00:00,933.67,60.24,146.8,800,77.9,1501,40,6.1,933.67,23.5
2026-03-19T21:08:15.0000000+00:00,933.75,60.16,145.8,799,75.5,1510,40,5.5,933.75,26.8
2026-03-19T21:08:20.0000000+00:00,933.81,60.11,146.4,800,72.6,1525,40,5.7,933.81,27
2026-03-19T21:08:25.0000000+00:00,933.86,60.05,145.6,801,72,1541,40,5.3,933.86,26.7
2026-03-19T21:08:30.0000000+00:00,933.91,60,146.4,800,70.3,1496,40,4.8,933.91,26.3
2026-03-19T21:08:35.0000000+00:00,933.96,59.95,146.4,800,67.5,1517,40,5.4,933.96,26.6
2026-03-19T21:08:40.0000000+00:00,934.01,59.9,147,799,64.4,1538,41,4.9,934.01,26.3
2026-03-19T21:08:45.0000000+00:00,934.06,59.85,146.8,800,62.1,1567,40,5.7,934.06,25.9
2026-03-19T21:08:50.0000000+00:00,934.13,59.78,146.6,800,60.1,1577,40,6.6,934.13,25.6
2026-03-19T21:08:55.0000000+00:00,934.2,59.71,147,799,57.7,1587,40,6.5,934.2,25.7
2026-03-19T21:09:00.0000000+00:00,934.28,59.64,147.4,800,55.7,1544,40,6,934.28,26
2026-03-19T21:09:05.0000000+00:00,934.36,59.55,146.4,799,54,1547,39,6,934.36,25.7
2026-03-19T21:09:10.0000000+00:00,934.42,59.49,146.9,800,52.1,1553,40,5.3,934.42,26
2026-03-19T21:09:15.0000000+00:00,934.49,59.42,146.7,799,50.1,1548,40,5.3,934.49,26.3
2026-03-19T21:09:20.0000000+00:00,934.55,59.36,147,799,48.2,1535,40,5.3,934.55,25.8
2026-03-19T21:09:25.0000000+00:00,934.63,59.29,146.4,800,46.8,1526,41,4.7,934.63,26.2
