iter	Passed	Remaining
0	88	35267
1	109	21832
2	126	16792
3	145	14362
4	164	12958
5	180	11833
6	196	11033
7	213	10456
8	229	9990
9	247	9657
10	263	9331
11	281	9091
12	299	8907
13	318	8776
14	337	8664
15	356	8544
16	374	8443
17	393	8361
18	416	8344
19	434	8258
20	451	8154
21	469	8062
22	485	7960
23	502	7872
24	522	7839
25	547	7872
26	565	7814
27	584	7764
28	602	7712
29	621	7662
30	637	7585
31	655	7534
32	674	7501
33	692	7450
34	710	7408
35	731	7394
36	757	7434
37	779	7428
38	800	7409
39	814	7326
40	831	7276
41	848	7229
42	863	7172
43	877	7099
44	896	7075
45	918	7066
46	936	7035
47	955	7004
48	976	6992
49	997	6984
50	1013	6936
51	1029	6892
52	1045	6842
53	1061	6803
54	1078	6762
55	1096	6736
56	1116	6721
57	1136	6702
58	1154	6670
59	1170	6635
60	1189	6609
61	1204	6568
62	1225	6556
63	1252	6574
64	1271	6552
65	1300	6583
66	1332	6624
67	1367	6678
68	1389	6667
69	1410	6650
70	1432	6636
71	1459	6649
72	1481	6635
73	1495	6588
74	1510	6546
75	1537	6555
76	1558	6537
77	1579	6519
78	1600	6502
79	1617	6468
80	1638	6453
81	1656	6422
82	1674	6396
83	1697	6387
84	1716	6362
85	1734	6334
86	1751	6300
87	1766	6263
88	1786	6241
89	1807	6226
90	1824	6193
91	1840	6160
92	1855	6125
93	1873	6097
94	1887	6058
95	1902	6024
96	1916	5987
97	1934	5962
98	1950	5930
99	1965	5895
100	1981	5864
101	1997	5835
102	2013	5806
103	2032	5785
104	2052	5766
105	2069	5739
106	2085	5709
107	2103	5686
108	2116	5651
109	2134	5627
110	2152	5602
111	2166	5570
112	2181	5540
113	2197	5512
114	2214	5488
115	2234	5469
116	2249	5442
117	2265	5413
118	2279	5381
119	2294	5354
120	2309	5326
121	2323	5295
122	2341	5273
123	2364	5263
124	2382	5241
125	2406	5232
126	2423	5209
127	2439	5184
128	2457	5163
129	2478	5147
130	2495	5124
131	2510	5096
132	2525	5068
